ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
1141,"SPY",,
1142,"SQUAT",,
1146,"STEP ON",,
1147,"STILL",,
1149,"STOP",,
1150,"STORE/v",,
1154,"STRIPED",,
1155,"SUCKLE",,
1156,"SUMMIT/TOP",,
1157,"SUPERNATURAL",,
1158,"SUPPLE",,
1160,"SURPRISE",,
1161,"SWALLOW/bird",,
1162,"SWALLOW/v",,
1164,"SWING/v",,
1165,"TABOO",,
1166,"TADPOLE",,
1167,"TAME",,
1168,"TANGLED",,
1170,"TEAR/RIP",,
1173,"THANK",,
1174,"THEN",,
1175,"THEREFORE",,
1177,"THISTLE",,
1179,"THROW AWAY",,
1180,"THUS/SO",,
1181,"TIDE/high",,
1182,"TIDE/low",,
1183,"TIE/v",,
1184,"TIGHT",,
1186,"TIMELY",,
1191,"TRADER",,
1192,"TREE/varieties",,
1193,"TRIBUTE/TAXES",,
1194,"TROLL",,
1197,"TURN/REVOLVE",,
1199,"TWO HUNDRED AND SIXTY",,
1200,"TWO HUNDRED AND TWENTY",,
1201,"UNBEARABLE",,
1203,"UNFORTUNATE",,
1204,"UNMARRIED",,
1206,"UNTIL",,
1207,"UPROOT",,
1208,"UPSIDE DOWN",,
1209,"USE/v",,
1210,"USEFUL",,
1211,"USELESS",,
1212,"VEGETABLE",,
1213,"VEGETATION",,
1219,"WAIT",,
1221,"WANT/DESIRE",,
1222,"WARN",,
1225,"WAVE/v",,
1226,"WEASEL",,
1227,"WEB",,
1229,"WEED/CLEAR A FIELD",,
1230,"WEEDS",,
1232,"WELCOME",,
1233,"WHATEVER",,
1235,"WHISTLE/v",,
1240,"WOUND/SORE",,
1246,"ENCHANT",,
1248,"OFFERING",,
1249,"SPRING/FOUNTAIN",,
1251,"BLOWGUN:pellet",,
1253,"SCAR/SCAB",,
1254,"WASPNEST",,
1255,"WRINKLES",,
1256,"AGILE",,
1257,"BLOCK/IMPEDE",,
1260,"CROSS-EYED",,
1265,"FISH/v",,
1266,"FISHER",,
1272,"IMPOSSIBLE",,
1274,"JOIN TOGETHER",,
1276,"KINGDOM",,
1277,"LACK",,
1279,"MARSH/SWAMP",,
1286,"PAPAYA/PAPAW",,
1287,"PARDON",,
1288,"PLUM",,
1293,"RESISTANCE",,
1294,"RESPONSIBILITY",,
1296,"SAFE",,
1299,"SPIDER/tarantula",,
1300,"SPINNER",,
1302,"STAMP/SEAL",,
1303,"STEP-DAUGHTER",,
1304,"STRAIN/SIFT",,
1305,"TANNER",,
1306,"TEAR OUT",,
1307,"TOOTH/canine",,
1308,"TREMBLE",,
1312,"WARRIOR",,
1313,"WHOOPING COUGH",,
1315,"WRITING",,
1317,"CAMP/CAMPING",,
1319,"DWARF",,
1321,"FISH-BAIT",,
1324,"GULL",,
1326,"IRRIGATE",,
1327,"OAR",,
1328,"PLAY/music",,
1329,"PROVISIONS",,
1330,"RAMON",,
1333,"TICKLISH",,
1334,"UNIVERSE",,
1336,"BAKE/pottery",,
1340,"FIANCE/FIANCEE",,
1344,"OLD DAYS",,
1345,"PINE CONE",,
1346,"160,000",,
1349,"BUT",,
1350,"CHERRY",,
1351,"CONSTELLATION",,
1352,"DENSE/CROWDED",,
1353,"DENT",,
1355,"DRIBBLE/SLAVER",,
1357,"FINGER/ring",,
1358,"FLAVOR",,
1360,"GILLS",,
1363,"KNUCKLE",,
1366,"MASH/CRUSH",,
1368,"MITE/GRUB",,
1369,"MOSQUITO NET",,
1371,"ORANGE",,
1372,"PAW",,
1374,"PLOW",,
1375,"POROUS",,
1376,"RECENTLY",,
1377,"SANDBANK",,
1378,"SHEATH/for arrows",,
1379,"SIGH",,
1380,"SIZE",,
1382,"TRANSPLANT",,
1384,"UNFOLD",,
1385,"WATERMELON",,
1386,"WAVE/of water",,
1387,"ANT-EATER",,
1390,"THREE HUNDRED AND SIXTY",,
1391,"DIGEST",,
1392,"MEANWHILE",,
1393,"NEED/REQUIRE",,
1395,"REBELLION",,
1396,"SCARCE",,
1398,"UNLOAD",,
1399,"64,000,000",,
1400,"GALLOWS",,
1402,"TURTLE-SHELL",,
